FIPS,# of Food Insecure Persons Overall (1 Year)
20125,4820
20127,560
20129,320
20131,890
20133,2220
20135,260
20137,460
20139,1850
20141,380
20143,560
20145,740
20147,600
20149,1950
20151,860
20153,250
20155,7040
20157,410
20159,1050
20161,9380
20163,450
20165,290
20167,760
20169,6170
20171,370
20173,66610
20175,1760
20177,18610
20179,180
20181,480
20183,340
20185,400
20187,200
20189,530
20191,3030
20193,630
20195,230
20197,580
20199,180
20201,480
20203,170
20205,1210
20207,410
20209,21330
21001,2950
21003,2880
21005,2960
21007,1060
21009,7860
21011,2310
21013,5790
21015,10440
21017,2510
21019,7590
21021,4040
21023,1200
21025,3140
21027,2980
21029,8410
21031,1890
21033,1970
21035,5580
21037,10010
21039,580
21041,1730
21043,4970
21045,2760
21047,11010
21049,5040
21051,4720
21053,1620
21055,1190
21057,980
21059,13120
21061,1920
21063,1550
21065,2870
21067,36600
21069,2370
21071,7470
21073,6300
21075,1040
21077,1090
21079,2000
21081,3180
21083,5350
21085,4640
21087,1910
21089,5350
21091,1070
21093,13010
21095,6680
21097,2580
21099,3030
21101,6860
21103,2260
21105,640
21107,7050
21109,2920
21111,88230
21113,6050
21115,4120
21117,18010
21119,3340
21121,6450
21123,2010
21125,9970
21127,2890
21129,1550
21131,2310
21133,4950
21135,2610
21137,3780
21139,1290
21141,3580
21143,1120
21145,8450
21147,3500
21149,1150
21151,12420
21153,3100
21155,3120
21157,3430
21159,2150
21161,2510
21163,3480
21165,1130
21167,2770
21169,1690
21171,1780
21173,4440
21175,2230
21177,4580
21179,4610
21181,1240
21183,3250
21185,3620
21187,1480
21189,960
21191,2010
21193,4750
21195,11260
21197,2120
21199,10790
21201,360
21203,2760
21205,4260
21207,2960
21209,5620
21211,4380
21213,2210
21215,1620
21217,3810
21219,1740
21221,2040
21223,1250
21225,2100
21227,16830
21229,1510
21231,3300
21233,2180
21235,6220
21237,1860
21239,2620
22001,10790
22003,3760
22005,11880
22007,3640
22009,7350
22011,5100
22013,2570
22015,16680
22017,39040
22019,28770
22021,1600
22023,710
22025,1550
22027,3050
22029,3490
22031,4260
22033,57100
22035,1800
22037,2190
22039,6960
22041,3620
22043,3060
22045,11770
22047,4620
22049,2530
22051,60310
22053,4860
22055,31330
22057,13810
22059,1850
22061,7840
22063,15390
22065,2290
22067,4440
22069,6360
22071,67740
22073,24270
22075,3210
22077,3670
22079,18720
22081,1430
22083,3620
22085,3720
22087,8130
22089,5560
22091,1790
22093,2530
22095,5360
22097,13040
22099,7220
22101,8310
22103,29910
22105,21790
22107,800
22109,16690
22111,3250
22113,8740
22115,7710
22117,8210
22119,6830
22121,3090
22123,1750
22125,1440
22127,2120
23001,12920
23003,9140
23005,27140
23007,3360
23009,5740
23011,14170
23013,3960
23015,3690
23017,7330
23019,18570
23021,2560
23023,3410
23025,7820
23027,4450
23029,4700
23031,19670
24001,11040
24003,47920
24005,85270
24009,6590
24011,4050
24013,14310
24015,11470
24017,11570
24019,4490
24021,22780
24023,3840
24025,22480
24027,23390
24029,2340
24031,87190
24033,74130
24035,4440
24037,10830
24039,3810
24041,4020
24043,19850
24045,13680
24047,7130
24510,93350
25001,18410
25003,12950
25005,61940
25007,1430
25009,73630
25011,7010
25013,57150
25015,13090
25017,116020
25019,870
25021,49120
25023,39020
25025,97820
25027,75560
26001,1690
26003,1290
26005,11260
26007,4110
26009,2940
26011,2370
26013,1290
26015,6190
26017,15080
26019,2140
26021,21600
26023,5900
26025,19900
26027,6720
26029,3290
26031,4250
26033,5750
26035,5910
26037,7230
26039,2260
26041,5210
26043,3030
26045,12530
26047,4320
26049,65660
26051,3900
26053,2060
26055,10940
26057,5590
26059,6460
26061,4820
26063,4120
26065,38760
26067,7310
26069,4020
26071,1590
26073,10920
26075,20620
26077,31740
26079,2810
26081,70540
26083,230
26085,2110
26087,11710
26089,2030
26091,12150
26093,17880
26095,970
26097,1900
26099,116040
26101,3310
26103,8890
26105,4220
26107,6550
26109,2760
26111,9530
26113,2130
26115,18550
26117,8630
26119,1650
26121,24540
26123,7000
26125,134340
26127,3670
26129,3560
26131,900
26133,3470
26135,1340
26137,3560
26139,25130
26141,1900
26143,4320
26145,28560
26147,23770
26149,8560
26151,6210
26153,1250
26155,8990
26157,7700
26159,9820
26161,38470
26163,308080
26165,4830
27001,1730
27003,19000
27005,2910
27007,5340
27009,3260
27011,440
27013,5670
27015,1570
27017,3160
27019,3720
27021,3180
27023,980
27025,3400
27027,4950
27029,1080
27031,520
27033,930
27035,5830
27037,23150
27039,930
27041,2610
27043,1150
27045,1460
27047,2320
27049,3250
27051,470
27053,94710
27055,1120
27057,1970
27059,2810
27061,4760
27063,600
27065,1500
27067,2910
27069,340
27071,1300
27073,480
27075,870
27077,270
27079,1970
27081,440
27083,2000
27085,2440
27087,890
27089,630
27091,1870
27093,1420
27095,2680
27097,2830
27099,3360
27101,540
27103,2360
27105,1420
27107,500
27109,9620
27111,4260
27113,1170
27115,3010
27117,680
27119,2730
27121,780
27123,51980
27125,320
27127,1100
27129,1060
27131,4260
27133,600
27135,1030
27137,20040
27139,6450
27141,4910
27143,940
27145,12640
27147,2320
27149,610
27151,840
27153,2110
27155,260
27157,1460
27159,1550
27161,1310
27163,11400
27165,810
27167,460
27169,3590
27171,6560
27173,690
28001,6800
28003,6480
28005,2680
28007,3480
28009,1340
28011,6420
28013,2620
28015,1500
28017,3170
28019,1370
28021,2010
28023,2800
28025,3430
28027,5290
28029,4440
28031,3410
28033,20600
28035,15010
28037,1390
28039,4420
28041,2320
28043,3800
28045,7260
28047,37470
28049,37160
28051,4810
28053,2080
28055,280
28057,3420
28059,23970
28061,2720
28063,1500
28065,1890
28067,11740
28069,1910
28071,7940
28073,9580
28075,13520
28077,2270
28079,4440
28081,12650
28083,5750
28085,5880
28087,9430
28089,12040
28091,4790
28093,5830
28095,5750
28097,1950
28099,5770
28101,3790
28103,2160
28105,8450
28107,5960
28109,8940
28111,2280
28113,8300
28115,5220
28117,4580
28119,1570
28121,17400
28123,5070
28125,850
28127,4230
28129,2370
28131,3170
28133,5400
28135,2530
28137,4240
28139,4210
28141,3690
28143,2260
28145,4240
28147,2440
28149,7990
28151,10330
28153,3630
28155,1720
